MES,RUTA_CONFIGURACION,VALOR_MERCADO,UTILIZACION_MERCADO,NUM_VIAJES_MERCADO,VALOR_REMESAS,UTILIZACION_REMESAS,NUM_VIAJES_REMESAS, VALOR_PROMEDIO_MERCADO ,RUTA_ANALISIS,CONFIGURACION_ANALISIS,CODIGO_ORIGEN,CODIGO_DESTINO
202501,11001000-11001000-2S2,665625,0.546082536,4,NA,NA,NA,705562.5,11001000-11001000,2S2,11001000,11001000
202501,11001000-11001000-3S3,2488417.214,0.415562899,9,NA,NA,NA,2637722.247,11001000-11001000,3S3,11001000,11001000
202501,11001000-13001000-2S2,4704251.583,0.568769716,89,4854751.517,0.528006757,296,5082224.636,11001000-13001000,2S2,11001000,13001000
202501,11001000-13001000-2S3,4522462.013,0.64681536,47,5479983.679,0.669908257,109,5402793.513,11001000-13001000,2S3,11001000,13001000
202501,11001000-13001000-3,2625000,0.8323125,4,5500000,0.75,1,4611000,11001000-13001000,3,11001000,13001000
202501,11001000-13001000-3S2,5257049.811,0.721411254,33,6835384.52,0.6784,50,6576293.674,11001000-13001000,3S2,11001000,13001000
202501,11001000-13001000-3S3,6040890.006,0.754127401,59,6676635.341,0.829347826,138,6807677.439,11001000-13001000,3S3,11001000,13001000
202501,11001000-13001009-2S2,4500000,0.730136364,1,4500000,0.37,1,4770000,11001000-13001009,2S2,11001000,13001009
202501,11001000-13430000-3,4750000,1.125,2,4750000,1.12,2,5035000,11001000-13430000,3,11001000,13430000
202501,11001000-13430000-3S3,7245000,0.823529412,2,7020000,0.766666667,3,7536600,11001000-13430000,3S3,11001000,13430000
202501,11001000-13647000-3,4900000,0.9375,1,4900000,0.94,1,5194000,11001000-13647000,3,11001000,13647000
202501,11001000-13670000-2S3,7000000,0.5,1,7000000,0.5,1,7420000,11001000-13670000,2S3,11001000,13670000
202501,11001000-13683000-3S3,8000000,0.735294118,1,8000000,0.74,1,8480000,11001000-13683000,3S3,11001000,13683000
202501,11001000-13688000-3,5395000,0.9529375,2,5395000,0.685,2,5718700,11001000-13688000,3,11001000,13688000
202501,11001000-13836000-3S3,2266666.667,0.824431373,3,NA,NA,NA,2402666.667,11001000-13836000,3S3,11001000,13836000
202501,11001000-13836003-3S3,5200000,0.410117647,1,NA,NA,NA,5512000,11001000-13836003,3S3,11001000,13836003
202501,11001000-15001000-2S2,1228009,0.575318182,1,1228009,0.58,1,1301689.54,11001000-15001000,2S2,11001000,15001000
202501,11001000-15001000-2S3,2218222.75,0.562824074,2,2630813.667,0.63,3,2613723.938,11001000-15001000,2S3,11001000,15001000
202501,11001000-15001000-3S2,733333.3333,0.401893531,3,2200000,0.35,1,1710133.333,11001000-15001000,3S2,11001000,15001000
202501,11001000-15001000-3S3,2192507.42,0.878195264,10,1792665.63,0.922826087,46,2069758.487,11001000-15001000,3S3,11001000,15001000
202501,11001000-15176000-3S3,1182500,0.839641638,4,1902746.667,0.639666667,30,1711526.88,11001000-15176000,3S3,11001000,15176000
202501,11001000-15236000-3,3200000,0.9375,1,3269000,0.94,1,3435884,11001000-15236000,3,11001000,15236000
202501,11001000-15238000-2S2,1875000,0.62987013,2,1781250,0.59375,8,1927875,11001000-15238000,2S2,11001000,15238000
202501,11001000-15238000-2S3,1750000,0.344444444,1,1750000,0.44,1,1855000,11001000-15238000,2S3,11001000,15238000
202501,11001000-15238000-3,1978000,1.0390625,2,2175333.333,1.03,3,2222184,11001000-15238000,3,11001000,15238000
202501,11001000-15238000-3S2,1850000,0.677419355,1,1850000,0.68,2,1961000,11001000-15238000,3S2,11001000,15238000
202501,11001000-15238000-3S3,2007799.143,0.77658808,10,2070397.703,0.773243243,37,2168079.775,11001000-15238000,3S3,11001000,15238000
202501,11001000-15299000-3,2090000,0.591911765,1,2090000,0.59,17,2215400,11001000-15299000,3,11001000,15299000
202501,11001000-15322008-3,466666.6667,0.875,1,535666.6667,0.88,3,538550.6667,11001000-15322008,3,11001000,15322008
202501,11001000-15367000-3S3,2200000,1,1,2200000,1,1,2332000,11001000-15367000,3S3,11001000,15367000
202501,11001000-15407000-3,2300000,0.6625,1,2300000,0.661333333,15,2438000,11001000-15407000,3,11001000,15407000
202501,11001000-15469000-3S3,2500000,0.970588235,1,2500000,0.97,1,2650000,11001000-15469000,3S3,11001000,15469000
202501,11001000-15491000-2S2,3000000,0.845454545,1,3000000,0.85,1,3180000,11001000-15491000,2S2,11001000,15491000
202501,11001000-15491000-3S2,2800000,0.309677419,1,NA,NA,NA,2968000,11001000-15491000,3S2,11001000,15491000
202501,11001000-15491000-3S3,1752576.889,0.844771242,3,1785032,0.728333333,6,1878372.953,11001000-15491000,3S3,11001000,15491000
202501,11001000-15491001-3S3,1712920,1,1,1713056,1,5,1815781.696,11001000-15491001,3S3,11001000,15491001
202501,11001000-15518000-3S3,1000000,0.725,2,1000000,0.725,2,1060000,11001000-15518000,3S3,11001000,15518000
202501,11001000-15537000-3,2300000,1,1,2300000,1,1,2438000,11001000-15537000,3,11001000,15537000
202501,11001000-15753000-3S3,0,0.691147059,1,3806000,0.35,1,4034360,11001000-15753000,3S3,11001000,15753000
202501,11001000-15759000-3,1900000,1.175,1,1900000,1.18,1,2014000,11001000-15759000,3,11001000,15759000
202501,11001000-15759000-3S3,2300000,0.920476827,4,1697777.778,0.698,45,2054986.667,11001000-15759000,3S3,11001000,15759000
202501,11001000-15762000-3S2,1600000,0.709677419,1,1600000,0.71,1,1696000,11001000-15762000,3S2,11001000,15762000
202501,11001000-15764000-3S3,1900000,0.823529412,1,1900000,0.82,2,2014000,11001000-15764000,3S3,11001000,15764000
202501,11001000-15806000-2S3,1035000,0.797277778,2,NA,NA,NA,1097100,11001000-15806000,2S3,11001000,15806000
202501,11001000-15806000-3,2000000,1,1,2000000,1,1,2120000,11001000-15806000,3,11001000,15806000
202501,11001000-15806000-3S3,1405282.83,0.925645258,4,1676629,0.983333333,21,1662175.964,11001000-15806000,3S3,11001000,15806000
202501,11001000-15837000-3S2,1561166.667,1.096774194,2,1601777.778,1.105555556,9,1680665.333,11001000-15837000,3S2,11001000,15837000
202501,11001000-15837000-3S3,1745184.211,1,2,1703037.801,0.993195876,291,1823090.147,11001000-15837000,3S3,11001000,15837000
202501,11001000-17001000-2S2,1475000,0.573863636,4,2130333.333,0.523333333,3,1980292,11001000-17001000,2S2,11001000,17001000
202501,11001000-17001000-2S3,2283333.333,0.592592593,3,2283333.333,0.59,3,2420333.333,11001000-17001000,2S3,11001000,17001000
