MES,CODIGO_OBJETIVO,CONFIGURACION,VIAJES_ORIGINADOS,VIAJES_DESCARGADOS,DIFERENCIA,INDICE_CARGUE_DESCARGUE
202412,5001000,2,36466,38578,-2112,0.95
202412,5001000,2B1,0,4,-4,0
202412,5001000,2B2,0,18,-18,0
202412,5001000,2R2,11,63,-52,0.17
202412,5001000,2R3,0,1,-1,0
202412,5001000,2S1,2,32,-30,0.06
202412,5001000,2S2,1195,3092,-1897,0.39
202412,5001000,2S3,331,1342,-1011,0.25
202412,5001000,3,1347,920,427,1.46
202412,5001000,3S1,1,1,0,1
202412,5001000,3S2,2614,2842,-228,0.92
202412,5001000,3S3,4347,7280,-2933,0.6
202412,5001000,3S4,5,3,2,1.67
202412,5001000,4,4,67,-63,0.06
202412,5001000,CA,9481,16252,-6771,0.58
202412,5001000,V2,42,0,42,NA
202412,5001000,V3,50,510,-460,0.1
202412,5001001,2,0,35,-35,0
202412,5001001,2R2,0,2,-2,0
202412,5001001,3S3,0,1,-1,0
202412,5001001,CA,1,21,-20,0.05
202412,5001002,2,2,38,-36,0.05
202412,5001002,3,0,5,-5,0
202412,5001002,3S3,0,2,-2,0
202412,5001002,CA,2,6,-4,0.33
202412,5001003,2,3,12,-9,0.25
202412,5001003,3,2,3,-1,0.67
202412,5001003,3S3,9,4,5,2.25
202412,5001003,CA,0,9,-9,0
202412,5001004,2,4,19,-15,0.21
202412,5001004,3,0,1,-1,0
202412,5001004,CA,0,1,-1,0
202412,5001009,CA,0,1,-1,0
202412,5001010,2,0,1,-1,0
202412,5002000,2,139,57,82,2.44
202412,5002000,2S2,0,11,-11,0
202412,5002000,3,6,23,-17,0.26
202412,5002000,3S3,0,1,-1,0
202412,5002000,CA,0,15,-15,0
202412,5002000,V2,151,0,151,NA
202412,5002010,2,0,32,-32,0
202412,5002010,3,0,9,-9,0
202412,5004000,2,5,3,2,1.67
202412,5004000,3S3,22,0,22,NA
202412,5004000,CA,0,1,-1,0
202412,5021000,2,4,12,-8,0.33
202412,5021000,3,1,2,-1,0.5
202412,5021000,3S2,0,3,-3,0
202412,5021000,3S3,21,1,20,21
202412,5021000,CA,0,7,-7,0
202412,5030000,2,397,310,87,1.28
202412,5030000,2S2,0,8,-8,0
202412,5030000,2S3,0,5,-5,0
202412,5030000,3,16,58,-42,0.28
202412,5030000,3S2,15,8,7,1.88
202412,5030000,3S3,706,151,555,4.68
202412,5030000,CA,29,97,-68,0.3
202412,5030000,V2,0,2,-2,0
202412,5030000,V3,315,3,312,105
202412,5030011,3S3,12,0,12,NA
202412,5031000,2,6,83,-77,0.07
202412,5031000,2S2,0,12,-12,0
202412,5031000,3,0,10,-10,0
202412,5031000,3S2,3,6,-3,0.5
202412,5031000,3S3,10,1,9,10
202412,5031000,4,4,0,4,NA
202412,5031000,CA,0,58,-58,0
202412,5031000,V3,12,0,12,NA
202412,5031000,V4,6,0,6,NA
202412,5034000,2,29,213,-184,0.14
202412,5034000,2S2,1,0,1,NA
202412,5034000,3,1,28,-27,0.04
202412,5034000,3S2,0,4,-4,0
202412,5034000,3S3,51,116,-65,0.44
202412,5034000,4,1,0,1,NA
202412,5034000,CA,0,51,-51,0
202412,5034001,2,2,0,2,NA
202412,5034006,2,19,1,18,19
202412,5034007,2,3,0,3,NA
202412,5034009,2,8,2,6,4
202412,5036000,2,12,18,-6,0.67
202412,5036000,3,0,3,-3,0
202412,5036000,CA,4,4,0,1
202412,5036000,V2,4,2,2,2
202412,5036000,V3,81,0,81,NA
202412,5038000,2,11,41,-30,0.27
202412,5038000,3,1,23,-22,0.04
202412,5038000,3S2,1,1,0,1
202412,5038000,3S3,0,4,-4,0
202412,5038000,4,2,0,2,NA
202412,5038000,CA,0,24,-24,0
202412,5038008,2,4,13,-9,0.31
202412,5038008,3,2,0,2,NA
202412,5038008,3S3,6,14,-8,0.43
202412,5038008,CA,0,1,-1,0
202412,5040000,2,6,48,-42,0.12
202412,5040000,2S3,1,0,1,NA
202412,5040000,3,0,5,-5,0
202412,5040000,3S2,1,1,0,1
202412,5040000,3S3,1,2,-1,0.5
202412,5040000,CA,0,14,-14,0
202412,5040000,V3,0,4,-4,0
202412,5040004,2,0,8,-8,0
202412,5040004,3S3,0,1,-1,0
202412,5042000,2,21,8455,-8434,0
202412,5042000,2S2,1,1,0,1
202412,5042000,3,3,35,-32,0.09
202412,5042000,3S2,1,13,-12,0.08
202412,5042000,3S3,34,85,-51,0.4
202412,5042000,4,0,1,-1,0
202412,5042000,CA,9,85,-76,0.11
202412,5042000,V3,0,1,-1,0
202412,5042001,2,0,3,-3,0
202412,5042001,CA,0,5,-5,0
202412,5044000,2,3,8,-5,0.38
202412,5044000,3,10,1,9,10
202412,5044000,3S2,0,1,-1,0
202412,5044000,3S3,0,3,-3,0
202412,5044000,CA,0,4,-4,0
202412,5044000,V2,0,1,-1,0
202412,5044001,3,10,3,7,3.33
202412,5045000,2,523,1784,-1261,0.29
